coin,side,limitPx,sz,oid,timestamp,origSz,check_time
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:50:02
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:50:18
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:50:18
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:50:18
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:50:18
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:50:33
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:50:33
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:50:33
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:50:33
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:50:48
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:50:48
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:50:48
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:50:48
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:51:03
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:51:03
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:51:03
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:51:03
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:51:19
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:51:19
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:51:19
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:51:19
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:51:34
ETH,B,3280.0,5000.0,263749085845,1765297788034,5000.0,2025-12-10 11:51:34
ETH,B,3280.0,5000.0,263740042097,1765297297072,5000.0,2025-12-10 11:51:34
ETH,B,3280.0,4108.6881,263739989715,1765297294493,5000.0,2025-12-10 11:51:34
ETH,B,3280.0,5000.0,263749144360,1765297792228,5000.0,2025-12-10 11:51:49
