coin,px,sz,side,time,startPosition,dir,closedPnl,hash,oid,crossed,fee,tid,feeToken,twapId,usd
ETH,3280.3,0.305,A,2025-12-09 16:20:59.990,80517.7676,Close Long,52.9846,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300147,1075714192917944,USDC,,1000.4915000000001
ETH,3280.3,0.305,A,2025-12-09 16:20:59.990,80518.0726,Close Long,52.9846,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300147,795525058723714,USDC,,1000.4915000000001
ETH,3280.3,0.305,A,2025-12-09 16:20:59.990,80518.3776,Close Long,52.9846,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300147,67732817609799,USDC,,1000.4915000000001
ETH,3280.3,0.305,A,2025-12-09 16:20:59.990,80518.6826,Close Long,52.9846,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300147,645319187830623,USDC,,1000.4915000000001
ETH,3280.3,0.305,A,2025-12-09 16:20:59.990,80518.9876,Close Long,52.9846,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300147,916774263188708,USDC,,1000.4915000000001
ETH,3280.3,0.305,A,2025-12-09 16:20:59.990,80519.2926,Close Long,52.9846,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300147,738144653257553,USDC,,1000.4915000000001
ETH,3280.3,0.305,A,2025-12-09 16:20:59.990,80519.5976,Close Long,52.9846,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300147,757647553707843,USDC,,1000.4915000000001
ETH,3280.3,0.305,A,2025-12-09 16:20:59.990,80519.9026,Close Long,52.9846,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300147,1065571682228922,USDC,,1000.4915000000001
ETH,3280.3,0.305,A,2025-12-09 16:20:59.990,80520.2076,Close Long,52.9846,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300147,783459521467,USDC,,1000.4915000000001
ETH,3280.3,457.1961,A,2025-12-09 16:20:59.990,80977.4037,Close Long,79424.1064920001,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,449.92211,311627914612226,USDC,,1499740.3668300002
ETH,3280.3,0.305,A,2025-12-09 16:20:59.990,80977.7087,Close Long,52.9846,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300147,278450143945307,USDC,,1000.4915000000001
ETH,3280.3,0.305,A,2025-12-09 16:20:59.990,80978.0137,Close Long,52.9846,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.300147,257752978122569,USDC,,1000.4915000000001
ETH,3280.4,0.0045,A,2025-12-09 16:20:59.990,80978.0182,Close Long,0.78219,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,0.004428,439947732691065,USDC,,14.7618
ETH,3280.4,46.4908,A,2025-12-09 16:20:59.990,81024.509,Close Long,8081.030856,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,45.752526,114862473833339,USDC,,152508.42032
ETH,3280.4,15.7872,A,2025-12-09 16:20:59.990,81040.2962,Close Long,2744.131104,0x0d9a16d526e7d5680f1304310f982a02062400bac1eaf43ab162c227e5ebaf52,263739263100,True,15.536499,505517370957688,USDC,,51788.33088
